persona,problem_num,leetcode_id,title,difficulty,category,cc_average,cc_max,cc_total,cc_blocks,mi_score,hal_vocabulary,hal_length,hal_volume,hal_difficulty,hal_effort,hal_time,hal_bugs,pylint_score,pylint_convention,pylint_refactor,pylint_warning,pylint_error,pylint_total_issues,bandit_high,bandit_medium,bandit_low,bandit_total,bandit_confidence_high,lines_of_code,blank_lines,comment_lines,mi_rank,has_docstring,has_type_hints
senior,1,146,LRU Cache,Medium,System Design,1.6,3.0,16.0,10.0,74.15924511919414,14.0,14.0,53.30296890880645,2.5,133.25742227201613,7.403190126223119,0.017767656302935482,7.92,9.0,1.0,0.0,0.0,10.0,0.0,0.0,0.0,0.0,0.0,97.0,27.0,5.0,A,True,True
vibecoder,1,146,LRU Cache,Medium,System Design,1.625,3.0,13.0,8.0,52.07992210812791,10.0,11.0,36.541209043760986,1.5,54.81181356564148,3.0451007536467487,0.012180403014586996,8.57,5.0,1.0,0.0,0.0,6.0,0.0,0.0,0.0,0.0,0.0,43.0,5.0,0.0,A,False,False
senior,2,155,Min Stack,Medium,System Design,2.1666666666666665,3.0,13.0,6.0,73.74177259762239,15.0,22.0,85.95159310338741,2.1818181818181817,187.53074858920888,10.418374921622716,0.02865053103446247,4.78,11.0,0.0,1.0,0.0,12.0,0.0,0.0,0.0,0.0,0.0,54.0,17.0,1.0,A,True,True
vibecoder,2,155,Min Stack,Medium,System Design,1.3333333333333333,2.0,8.0,6.0,64.84542575228255,6.0,8.0,20.67970000576925,1.0,20.67970000576925,1.1488722225427361,0.006893233335256416,8.57,2.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,14.0,4.0,0.0,A,False,False
senior,3,208,Implement Trie,Medium,System Design,2.375,4.0,19.0,8.0,72.36611475016538,17.0,21.0,85.83671966625714,2.0,171.67343933251428,9.537413296250794,0.02861223988875238,6.56,10.0,1.0,0.0,0.0,11.0,0.0,0.0,0.0,0.0,0.0,67.0,23.0,0.0,A,True,True
vibecoder,3,208,Implement Trie,Medium,System Design,2.6,3.0,13.0,5.0,57.34779657305409,9.0,12.0,38.03910001730775,1.1428571428571428,43.47325716263743,2.415180953479857,0.012679700005769252,7.92,5.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,21.0,3.0,0.0,A,False,False
senior,4,355,Design Twitter,Medium,System Design,2.5,6.0,15.0,6.0,68.61405763994664,18.0,20.0,83.39850002884624,3.25,271.0451250937503,15.05806250520835,0.027799500009615414,4.05,21.0,0.0,2.0,0.0,23.0,0.0,0.0,0.0,0.0,0.0,79.0,20.0,4.0,A,True,True
vibecoder,4,355,Design Twitter,Medium,System Design,2.3333333333333335,5.0,14.0,6.0,57.70138164061031,9.0,10.0,31.699250014423125,1.5,47.548875021634686,2.6416041678685938,0.010566416671474375,6.92,7.0,0.0,0.0,0.0,7.0,0.0,0.0,0.0,0.0,0.0,21.0,5.0,0.0,A,False,False
senior,6,981,Time Based Key-Value Store,Medium,System Design,4.0,6.0,18.0,4.0,70.4262049719411,27.0,37.0,175.93083758004835,3.4615384615384617,578.0584663344446,32.11435924080248,0.058643612526682785,5.0,11.0,0.0,1.0,0.0,13.0,0.0,0.0,0.0,0.0,0.0,49.0,14.0,5.0,A,True,True
vibecoder,6,981,Time Based Key-Value Store,Medium,System Design,2.0,3.0,8.0,4.0,64.87103433093603,8.0,9.0,27.0,1.8,48.6,2.7,0.009,6.92,4.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,12.0,3.0,0.0,A,False,False
senior,7,295,Find Median from Data Stream,Hard,System Design,3.0,4.0,12.0,4.0,76.58103414735879,23.0,29.0,131.18329672565338,3.0,393.54989017696016,21.863882787608897,0.04372776557521779,5.0,10.0,0.0,1.0,0.0,11.0,0.0,0.0,0.0,0.0,0.0,46.0,13.0,5.0,A,True,True
vibecoder,7,295,Find Median from Data Stream,Hard,System Design,3.25,5.0,13.0,4.0,53.410452203420036,32.0,44.0,220.0,3.78,831.5999999999999,46.199999999999996,0.07333333333333333,7.37,4.0,1.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,21.0,4.0,0.0,A,False,False
senior,8,460,LFU Cache,Hard,System Design,2.375,4.0,19.0,6.0,69.68434476503035,27.0,34.0,161.66617507355795,5.625,1046.0752504759632,58.11529169310907,0.053888725024519316,6.38,15.0,0.0,1.0,0.0,17.0,0.0,0.0,0.0,0.0,0.0,86.0,25.0,9.0,A,True,True
vibecoder,8,460,LFU Cache,Hard,System Design,2.6,4.0,13.0,5.0,50.074521596854815,22.0,31.0,136.16184010614157,5.4,747.8955767347594,41.54975426304219,0.04538728003538052,9.71,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,35.0,4.0,0.0,A,False,False
senior,9,432,All O'one Data Structure,Hard,System Design,2.3,5.0,23.0,10.0,68.46218491926115,25.0,34.0,157.89111045234063,3.5294117647058822,548.4638573607622,30.47021429782012,0.05263037015078021,7.5,16.0,1.0,0.0,0.0,17.0,0.0,0.0,0.0,0.0,0.0,120.0,30.0,10.0,A,True,True
vibecoder,9,432,All O'one Data Structure,Hard,System Design,5.0,10.0,30.0,6.0,41.89151155885498,34.0,52.0,249.28567922126666,5.571428571428571,1637.393329663041,90.96629609239116,0.08309522640708888,9.02,5.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,51.0,5.0,0.0,A,False,False
senior,11,5,Longest Palindromic Substring,Medium,Dynamic Programming,5.333333333333333,6.0,16.0,3.0,77.1658423159238,28.0,42.0,199.7052750908657,5.921052631578948,1177.2100426408927,65.40055792449404,0.06656842503028856,3.75,12.0,1.0,0.0,0.0,13.0,0.0,0.0,0.0,0.0,0.0,48.0,14.0,5.0,A,True,True
vibecoder,11,5,Longest Palindromic Substring,Medium,Dynamic Programming,8.5,9.0,17.0,2.0,58.454446720708916,25.0,42.0,195.04195997053841,6.588235294117647,1284.9823245117825,71.38790691732125,0.06501398665684614,7.0,3.0,1.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,11.0,0.0,0.0,A,False,True
senior,12,62,Unique Paths,Medium,Dynamic Programming,5.0,6.0,15.0,3.0,74.73815159967694,20.0,33.0,142.62362713128297,3.6666666666666665,522.9532994813709,29.05296108229838,0.04754120904376099,4.17,9.0,1.0,1.0,0.0,12.0,0.0,0.0,0.0,0.0,0.0,43.0,14.0,5.0,A,True,True
vibecoder,12,62,Unique Paths,Medium,Dynamic Programming,4.5,5.0,9.0,2.0,68.32899419065265,11.0,18.0,62.26976913547136,2.25,140.10698055481055,7.78372114193392,0.020756589711823786,5.71,2.0,1.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,7.0,0.0,0.0,A,False,True
senior,13,91,Decode Ways,Medium,Dynamic Programming,3.0,5.0,12.0,4.0,70.21870713678757,26.0,39.0,183.31714900750262,3.75,687.4393087781348,38.191072709896375,0.061105716335834205,4.83,14.0,1.0,0.0,0.0,15.0,0.0,0.0,0.0,0.0,0.0,65.0,21.0,5.0,A,True,True
vibecoder,13,91,Decode Ways,Medium,Dynamic Programming,6.5,7.0,13.0,2.0,58.615069174434346,26.0,43.0,202.11890788006698,6.222222222222222,1257.628760142639,69.86826445236883,0.06737296929335566,5.38,5.0,1.0,0.0,0.0,6.0,0.0,0.0,0.0,0.0,0.0,10.0,0.0,0.0,A,False,True
senior,14,139,Word Break,Medium,Dynamic Programming,4.0,6.0,16.0,4.0,74.06375120503036,18.0,25.0,106.19818783608963,3.6923076923076925,392.11638585633096,21.784243658685053,0.03539939594536321,4.4,13.0,1.0,0.0,0.0,14.0,0.0,0.0,0.0,0.0,0.0,54.0,18.0,1.0,A,True,True
vibecoder,14,139,Word Break,Medium,Dynamic Programming,4.5,5.0,9.0,2.0,65.3960063013103,12.0,15.0,53.77443751081735,2.5,134.43609377704337,7.468671876502409,0.017924812503605784,5.56,3.0,1.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,9.0,0.0,0.0,A,False,False
senior,15,198,House Robber,Medium,Dynamic Programming,3.3333333333333335,4.0,10.0,3.0,80.69708806209469,10.0,11.0,36.541209043760986,2.3333333333333335,85.26282110210897,4.736823394561609,0.012180403014586996,5.56,7.0,1.0,0.0,0.0,8.0,0.0,0.0,0.0,0.0,0.0,39.0,14.0,3.0,A,True,True
vibecoder,15,198,House Robber,Medium,Dynamic Programming,4.5,5.0,9.0,2.0,67.84926407934918,8.0,8.0,24.0,1.5,36.0,2.0,0.008,6.0,3.0,1.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,8.0,0.0,0.0,A,False,False
senior,16,300,Longest Increasing Subsequence,Medium,Dynamic Programming,3.5,5.0,14.0,4.0,77.50509933835185,15.0,16.0,62.5102495297363,2.5,156.27562382434076,8.681979101352264,0.020836749843245433,4.78,12.0,1.0,0.0,0.0,12.0,0.0,0.0,0.0,0.0,0.0,61.0,20.0,5.0,A,True,True
vibecoder,16,300,Longest Increasing Subsequence,Medium,Dynamic Programming,5.5,6.0,11.0,2.0,66.3130547934018,11.0,11.0,38.053747805010275,2.0,76.10749561002055,4.228194200556697,0.012684582601670092,6.0,3.0,1.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,9.0,0.0,0.0,A,False,False
senior,17,10,Regular Expression Matching,Hard,Dynamic Programming,6.333333333333333,10.0,19.0,3.0,78.23505226373481,39.0,67.0,354.12194866377064,5.25,1723.4390936935088,95.74661631630605,0.11804064955459022,1.5,14.0,3.0,0.0,0.0,17.0,0.0,0.0,0.0,0.0,0.0,58.0,12.0,6.0,A,True,True
vibecoder,17,10,Regular Expression Matching,Hard,Dynamic Programming,12.5,13.0,25.0,2.0,54.47069669580682,36.0,93.0,480.80302513413505,6.2,2980.9787558316375,165.60993087953543,0.16026767504471168,7.69,2.0,1.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,14.0,0.0,0.0,A,False,True
senior,18,72,Edit Distance,Hard,Dynamic Programming,3.6,5.0,18.0,5.0,69.69011812100044,27.0,70.0,332.8421251514428,6.571428571428571,2187.2482509951956,121.51379172195531,0.11094737505048094,2.81,20.0,3.0,0.0,0.0,23.0,0.0,0.0,0.0,0.0,0.0,85.0,23.0,7.0,A,True,True
vibecoder,18,72,Edit Distance,Hard,Dynamic Programming,7.5,8.0,15.0,2.0,59.36079446409411,14.0,51.0,194.1751010249378,6.8,1320.390686969577,73.3550381649765,0.06472503367497927,5.83,4.0,1.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,10.0,0.0,0.0,A,False,True
senior,19,312,Burst Balloons,Hard,Dynamic Programming,3.0,4.0,12.0,4.0,79.25149249317205,26.0,38.0,176.46653521143952,3.45,567.5780959655369,31.53211644252983,0.05882217840381317,1.48,19.0,1.0,0.0,0.0,20.0,0.0,0.0,0.0,0.0,0.0,68.0,21.0,7.0,A,True,True
vibecoder,19,312,Burst Balloons,Hard,Dynamic Programming,7.5,8.0,15.0,2.0,60.72014007072348,23.0,36.0,162.84823041805248,2.526315789473684,411.40605579297466,22.85589198849859,0.05428274347268416,7.27,2.0,1.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,11.0,0.0,0.0,A,False,False
senior,20,1235,Maximum Profit in Job Scheduling,Hard,Dynamic Programming,3.0,5.0,15.0,5.0,70.18700662789514,26.0,37.0,176.46653521143952,4.8,841.3574743827148,46.74208191015082,0.05882217840381317,2.31,21.0,1.0,1.0,0.0,23.0,0.0,0.0,0.0,0.0,0.0,74.0,22.0,6.0,A,True,True
vibecoder,20,1235,Maximum Profit in Job Scheduling,Hard,Dynamic Programming,5.5,6.0,11.0,2.0,59.7082322394727,16.0,27.0,110.36149671375918,4.0625,413.85561267659693,22.99197848203316,0.03678716557125306,7.69,2.0,1.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,13.0,0.0,0.0,A,False,False
senior,21,102,Binary Tree Level Order Traversal,Medium,Graph/Tree,4.0,7.0,16.0,4.0,92.36936818298808,2.0,2.0,2.0,0.5,1.0,0.05555555555555555,0.0006666666666666666,5.2,10.0,2.0,0.0,0.0,12.0,0.0,0.0,0.0,0.0,0.0,41.0,14.0,2.0,A,True,True
vibecoder,21,102,Binary Tree Level Order Traversal,Medium,Graph/Tree,4.5,8.0,18.0,4.0,71.02644526504824,2.0,2.0,2.0,0.5,1.0,0.05555555555555555,0.0006666666666666666,6.67,3.0,2.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,14.0,2.0,0.0,A,False,False
senior,22,200,Number of Islands,Medium,Graph/Tree,6.0,7.0,24.0,4.0,73.7588424080326,33.0,47.0,237.08652360984732,4.96,1175.9491571048427,65.33050872804682,0.07902884120328244,4.14,13.0,3.0,0.0,0.0,16.0,0.0,0.0,0.0,0.0,0.0,62.0,17.0,2.0,A,True,True
vibecoder,22,200,Number of Islands,Medium,Graph/Tree,5.5,6.0,11.0,2.0,57.01098107174762,28.0,39.0,187.48684196024655,5.2,974.9315781932821,54.16286545518234,0.06249561398674885,5.62,5.0,1.0,1.0,0.0,7.0,0.0,0.0,0.0,0.0,0.0,12.0,0.0,0.0,A,False,False
senior,23,207,Course Schedule,Medium,Graph/Tree,3.2,6.0,16.0,5.0,72.50327909322822,17.0,23.0,94.01164534875782,3.125,293.7863917148682,16.32146620638157,0.031337215116252606,3.33,20.0,1.0,1.0,0.0,22.0,0.0,0.0,0.0,0.0,0.0,73.0,23.0,7.0,A,True,True
vibecoder,23,207,Course Schedule,Medium,Graph/Tree,7.5,8.0,15.0,2.0,58.30439312175759,13.0,21.0,77.70923408096293,3.111111111111111,241.762061585218,13.431225643623222,0.025903078026987644,8.33,2.0,1.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,18.0,1.0,0.0,A,False,False
senior,24,236,Lowest Common Ancestor of a Binary Tree,Medium,Graph/Tree,3.6,7.0,18.0,5.0,77.0519507039097,13.0,17.0,62.907475208398566,2.4444444444444446,153.7738282871965,8.542990460399805,0.02096915840279952,3.68,10.0,2.0,0.0,0.0,12.0,0.0,0.0,0.0,0.0,0.0,45.0,14.0,4.0,A,True,True
vibecoder,24,236,Lowest Common Ancestor of a Binary Tree,Medium,Graph/Tree,4.5,8.0,18.0,4.0,62.57630962564327,12.0,18.0,64.52932501298082,3.0,193.58797503894246,10.75488750216347,0.02150977500432694,5.83,3.0,2.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,11.0,1.0,0.0,A,False,False
senior,25,310,Minimum Height Trees,Medium,Graph/Tree,4.25,8.0,20.0,4.0,74.32846667050312,16.0,24.0,96.0,2.6666666666666665,256.0,14.222222222222221,0.032,4.84,17.0,1.0,1.0,0.0,19.0,0.0,0.0,0.0,0.0,0.0,72.0,22.0,9.0,A,True,True
vibecoder,25,310,Minimum Height Trees,Medium,Graph/Tree,8.5,9.0,17.0,2.0,58.66549408956179,9.0,15.0,47.548875021634686,2.5,118.87218755408671,6.604010419671484,0.01584962500721156,7.5,4.0,1.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,18.0,1.0,0.0,A,False,False
senior,26,994,Rotting Oranges,Medium,Graph/Tree,7.0,10.0,27.0,4.0,72.67025325565167,37.0,63.0,328.19556203462383,6.774193548387097,2431.07823729351,135.05990207186167,0.10939852067820795,3.68,16.0,5.0,1.0,0.0,23.0,0.0,0.0,0.0,0.0,0.0,69.0,17.0,5.0,A,True,True
vibecoder,26,994,Rotting Oranges,Medium,Graph/Tree,12.5,13.0,25.0,2.0,54.69202159302329,25.0,44.0,204.32967235008786,5.444444444444445,1112.4615494615896,61.803419414532755,0.06810989078336262,8.12,2.0,1.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,17.0,1.0,0.0,A,False,False
senior,27,124,Binary Tree Maximum Path Sum,Hard,Graph/Tree,2.0,3.0,10.0,5.0,77.50249412735992,11.0,15.0,51.89147427955947,1.1111111111111112,57.65719364395497,3.203177424664165,0.01729715809318649,3.81,9.0,2.0,2.0,0.0,13.0,0.0,0.0,0.0,0.0,0.0,50.0,16.0,6.0,A,True,True
vibecoder,27,124,Binary Tree Maximum Path Sum,Hard,Graph/Tree,1.5,2.0,6.0,4.0,62.12286813255181,8.0,11.0,33.0,1.1666666666666667,38.5,2.138888888888889,0.011,5.88,3.0,2.0,2.0,0.0,7.0,0.0,0.0,0.0,0.0,0.0,16.0,1.0,0.0,A,False,False
senior,28,297,Serialize and Deserialize Binary Tree,Hard,Graph/Tree,2.142857142857143,3.0,15.0,7.0,79.78171140349637,8.0,11.0,33.0,1.0,33.0,1.8333333333333333,0.011,6.67,13.0,1.0,0.0,0.0,14.0,0.0,0.0,0.0,0.0,0.0,68.0,23.0,2.0,A,True,True
vibecoder,28,297,Serialize and Deserialize Binary Tree,Hard,Graph/Tree,1.4,2.0,7.0,5.0,57.8495941025872,12.0,14.0,50.18947501009619,1.5,75.28421251514428,4.182456250841349,0.016729825003365395,7.92,4.0,1.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,21.0,2.0,0.0,A,False,False
senior,29,329,Longest Increasing Path in a Matrix,Hard,Graph/Tree,3.6,5.0,17.0,5.0,73.84754746608927,31.0,40.0,194.3192398051029,4.891304347826087,948.5034026977055,52.69463348320586,0.0647730799350343,3.94,15.0,1.0,4.0,0.0,20.0,0.0,0.0,0.0,0.0,0.0,72.0,19.0,6.0,A,True,True
vibecoder,29,329,Longest Increasing Path in a Matrix,Hard,Graph/Tree,4.5,5.0,9.0,2.0,56.933587201660046,27.0,35.0,166.4210625757214,4.631578947368421,770.792289824394,42.821793879133,0.05547368752524047,7.06,4.0,1.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,15.0,0.0,0.0,A,False,False
senior,31,3,Longest Substring Without Repeating Characters,Medium,String/Array,3.3333333333333335,4.0,12.0,3.0,79.08242209809758,18.0,22.0,91.73835003173087,3.5,321.08422511105806,17.838012506169893,0.030579450010576957,4.21,11.0,1.0,0.0,0.0,12.0,0.0,0.0,0.0,0.0,0.0,39.0,14.0,3.0,A,True,True
vibecoder,31,3,Longest Substring Without Repeating Characters,Medium,String/Array,4.5,5.0,9.0,2.0,63.567856409259434,14.0,18.0,64.72503367497926,3.4285714285714284,213.49635132161606,11.860908406756447,0.021575011224993085,6.67,2.0,1.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,9.0,0.0,0.0,A,False,True
senior,32,15,3Sum,Medium,String/Array,8.0,9.0,24.0,3.0,73.68070551909561,39.0,74.0,382.5744501067311,7.0,2678.0211507471176,148.7789528192843,0.1275248167022437,4.1,20.0,1.0,1.0,0.0,23.0,0.0,0.0,0.0,0.0,0.0,69.0,23.0,5.0,A,True,True
vibecoder,32,15,3Sum,Medium,String/Array,11.5,12.0,23.0,2.0,50.56660001587973,31.0,78.0,386.4273122101763,6.24,2411.3064281915003,133.96146823286114,0.12880910407005877,8.64,2.0,1.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,23.0,0.0,0.0,A,False,False
senior,33,49,Group Anagrams,Medium,String/Array,2.25,3.0,10.0,5.0,81.55875097502417,4.0,6.0,12.0,0.5,6.0,0.3333333333333333,0.004,5.0,8.0,1.0,0.0,0.0,9.0,0.0,0.0,0.0,0.0,0.0,46.0,15.0,1.0,A,True,True
vibecoder,33,49,Group Anagrams,Medium,String/Array,2.5,3.0,5.0,2.0,76.42020806643173,3.0,3.0,4.754887502163469,0.5,2.3774437510817346,0.1320802083934297,0.0015849625007211565,5.71,2.0,1.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,7.0,0.0,0.0,A,False,False
senior,34,56,Merge Intervals,Medium,String/Array,3.0,5.0,15.0,5.0,70.759403609618,18.0,23.0,97.70233280920246,3.230769230769231,315.65369061434643,17.536316145241468,0.03256744426973415,6.0,9.0,1.0,0.0,0.0,10.0,0.0,0.0,0.0,0.0,0.0,63.0,18.0,5.0,A,True,True
vibecoder,34,56,Merge Intervals,Medium,String/Array,3.5,4.0,7.0,2.0,68.40472779451608,5.0,9.0,20.89735285398626,1.6666666666666667,34.82892142331043,1.9349400790728017,0.0069657842846620865,7.78,1.0,1.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,10.0,0.0,0.0,A,False,False
senior,35,238,Product of Array Except Self,Medium,String/Array,4.5,5.0,9.0,2.0,83.94413871774564,13.0,21.0,77.70923408096293,2.888888888888889,224.49334290055958,12.471852383364421,0.025903078026987644,5.62,6.0,1.0,0.0,0.0,7.0,0.0,0.0,0.0,0.0,0.0,30.0,10.0,2.0,A,True,True
vibecoder,35,238,Product of Array Except Self,Medium,String/Array,3.5,4.0,7.0,2.0,63.07418281802773,12.0,25.0,89.62406251802891,2.6666666666666665,238.9975000480771,13.277638891559839,0.029874687506009637,7.27,2.0,1.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,11.0,0.0,0.0,A,False,False
senior,36,560,Subarray Sum Equals K,Medium,String/Array,3.0,4.0,9.0,3.0,76.77698362278355,15.0,18.0,70.32403072095333,2.1818181818181817,153.43424884571635,8.52412493587313,0.02344134357365111,4.71,10.0,1.0,0.0,0.0,11.0,0.0,0.0,0.0,0.0,0.0,45.0,14.0,2.0,A,True,True
vibecoder,36,560,Subarray Sum Equals K,Medium,String/Array,2.5,3.0,5.0,2.0,67.69291899960024,9.0,12.0,38.03910001730775,1.1428571428571428,43.47325716263743,2.415180953479857,0.012679700005769252,6.67,2.0,1.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,9.0,0.0,0.0,A,False,False
senior,37,4,Median of Two Sorted Arrays,Hard,String/Array,3.1666666666666665,5.0,19.0,6.0,66.8861259821988,46.0,70.0,386.6493369239909,7.228571428571429,2794.9223497648486,155.27346387582492,0.12888311230799698,4.74,14.0,5.0,0.0,0.0,19.0,0.0,0.0,0.0,0.0,0.0,98.0,24.0,7.0,A,True,True
vibecoder,37,4,Median of Two Sorted Arrays,Hard,String/Array,11.5,12.0,23.0,2.0,52.390250138366476,35.0,75.0,384.6962262708725,8.653846153846153,3329.1019581133196,184.9501087840733,0.12823207542362416,7.22,2.0,3.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,19.0,0.0,0.0,A,False,False
senior,38,41,First Missing Positive,Hard,String/Array,3.4,5.0,17.0,5.0,69.73935942666391,23.0,34.0,146.94555522617034,5.923076923076923,870.3698271088551,48.353879283825286,0.048981851742056784,4.74,12.0,1.0,0.0,0.0,13.0,0.0,0.0,0.0,0.0,0.0,62.0,18.0,6.0,A,True,True
