Metric,Vibecoder (M ± SD),Senior (M ± SD),t,p (t-test),W,p (Wilcoxon),Cohen's d,95% CI,BH adj. p,Sig.
Cyclomatic Complexity,5.13 ± 3.16,4.00 ± 2.05,3.018,0.0041,313,0.0078,0.440,"[0.175, 0.723]",0.0069,**
Maintainability Index,60.03 ± 7.12,75.54 ± 6.31,-17.166,0.0000,0,0.0000,-2.504,"[-3.149, -2.090]",0.0000,***
Halstead Volume,126.49 ± 116.22,156.99 ± 118.78,-2.754,0.0084,225,0.0004,-0.402,"[-0.694, -0.162]",0.0105,*
Halstead Difficulty,3.52 ± 2.16,3.84 ± 1.90,-2.006,0.0508,338,0.0427,-0.293,"[-0.612, -0.009]",0.0565,n.s.
Halstead Effort,666.57 ± 852.14,798.49 ± 893.17,-1.431,0.1591,349,0.0360,-0.209,"[-0.449, 0.073]",0.1591,n.s.
Halstead Bugs,0.04 ± 0.04,0.05 ± 0.04,-2.754,0.0084,225,0.0004,-0.402,"[-0.694, -0.162]",0.0105,*
Pylint Score,7.07 ± 1.13,4.33 ± 1.57,10.717,0.0000,1,0.0000,1.563,"[1.308, 2.000]",0.0000,***
Pylint Total Issues,4.30 ± 1.68,16.02 ± 5.44,-15.727,0.0000,0,0.0000,-2.294,"[-2.730, -2.011]",0.0000,***
Lines of Code,16.15 ± 9.36,64.77 ± 20.91,-20.592,0.0000,0,0.0000,-3.004,"[-3.960, -2.527]",0.0000,***
Comment Lines,0.00 ± 0.00,4.91 ± 2.61,-12.904,0.0000,0,0.0000,-1.882,"[-2.440, -1.530]",0.0000,***
Bandit Total,0.00 ± 0.00,0.00 ± 0.00,N/A,N/A,N/A,N/A,0.000,"[0.000, 0.000]",N/A,n.s.
